Country,Region,Classic Alexa/Alexa+,Fleet Type,Enterprise Owned - Resellers,Vertical,Subscription Type,Partner Name,Start Date,End Date,Scenario,Metrics,Value
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Base Subscription Revenue,WDPR hospitality,1/1/26,1/1/26,OP2,Install Base,30222
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Subscription Revenue,WDPR hospitality,1/1/26,1/1/26,OP2,Revenue (Subscription + Rev-Share),41879.06
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Base Subscription Revenue,WDPR hospitality,2/1/26,2/1/26,OP2,Install Base,30222
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Subscription Revenue,WDPR hospitality,2/1/26,2/1/26,OP2,Revenue (Subscription + Rev-Share),41879.06
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Base Subscription Revenue,WDPR hospitality,3/1/26,3/1/26,OP2,Install Base,30222
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Subscription Revenue,WDPR hospitality,3/1/26,3/1/26,OP2,Revenue (Subscription + Rev-Share),41879.06
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Base Subscription Revenue,WDPR hospitality,4/1/26,4/1/26,OP2,Install Base,30222
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Subscription Revenue,WDPR hospitality,4/1/26,4/1/26,OP2,Revenue (Subscription + Rev-Share),41879.06
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Base Subscription Revenue,WDPR hospitality,5/1/26,5/1/26,OP2,Install Base,30222
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Subscription Revenue,WDPR hospitality,5/1/26,5/1/26,OP2,Revenue (Subscription + Rev-Share),41879.06
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Base Subscription Revenue,WDPR hospitality,6/1/26,6/1/26,OP2,Install Base,30222
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Subscription Revenue,WDPR hospitality,6/1/26,6/1/26,OP2,Revenue (Subscription + Rev-Share),41879.06
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Base Subscription Revenue,WDPR hospitality,7/1/26,7/1/26,OP2,Install Base,29718.3
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Subscription Revenue,WDPR hospitality,7/1/26,7/1/26,OP2,Revenue (Subscription + Rev-Share),41879.06
US,US,Classic Alexa,Managed,Enterprise Owned,Resorts,Base Subscription Revenue,WDPR hospitality,8/1/26,8/1/26,OP2,Install Base,29214.6
